image_urls,ticker,file_urls,article_title,article_body,article_sentiment,article_summary
https://static.seekingalpha.com/uploads/2018/12/14/saupload_7a94e884bba8561a6f512610c98866fd.png,"Tesla, Inc. (TSLA)",,Tesla: Quick Look At The 2019 Convertible Settlement,"Over the last two months, there have been several data points that suggest Tesla (, ) may have turned the corner financially. The company enjoyed positive cash flow during Q3 2018, it used cash to redeem its 2019 Convertible Notes due November 2018, and it notified 2019 Convertible Note (""2019 Converts"") holders on Dec. 1, 2018, that the settlement on March 1, 2019, would be 50/50 cash/common stock. These three data points hint at the improving financial health and operational capabilities of TSLA after a near-death experience during the ramp up of Model 3 production., After a very rough first half 2018, which is, , TSLA's stock has enjoyed a rebound from its nadir in early October, driven by the release of Q3 2018 earnings. There are a, . Particularly impressive is TSLA's performance relative to the S&P 500, as depicted in the graphs below. The volatility of TSLA's price performance during 2018 is clearly on display in comparison with the S&P 500 as is the sizable bounce off yearly lows since Oct. 22 (when TSLA announced its impending earnings release date)., As depicted in the first graph, the S&P 500 is down about 10% from its recent highs during August. The S&P 500 50-day moving average recently crossed over the 200 DMA forming what's known as a death cross. The momentum in the general market has been to the downside. This makes TSLA's recent performance an interesting contrast., If you believe that other automakers are peers, then TSLA also had outperformed its peers since late October. The companies included in the graph are not intended to be exhaustive list, just enough to offer some perspective without deteriorating into an unintelligible plate of spaghetti., . TSLA also had approximately $7.6 billion of recourse debt at Q3 and, prior to Q3, had a mostly red ink record of cash flow from operations (""CFFO""). Cash is the life blood of any struggling corporation. More important than all of the negative aspects of Elon Musk's behavior and TSLA's checkered history of missed deadlines and production milestones over the last 12 months is cash on the balance sheet. Quarterly cash flow is one of two primary and interrelated metrics that drive the stock price, the other being the aforementioned rate of production. As production climbed during Q3 relative to prior quarters, cash flow improved., The $230 million in 2018 Converts (former SolarCity converts) that matured November 2018 had a conversion price of $560.60 per share, well above TSLA's market price at the time. Investors always were going to opt to be paid in cash. The $920 million of .25% 2019 Converts due March 1 have a conversion price of $359.87. TSLA's stock price has been bouncing between $360 and $370 recently as several Wall Street analysts, including Oppenheimer, Baird and Wedbush, have upgraded the stock to neutral/market perform or even outperform. Investors may therefore chose to convert if the 20 trading day VWAP beginning 22 trading days prior to conversion exceeds the conversion price of $359.87 on the 2019 Converts (the definitions are a bit more complicated in the Prospectus but this is the plain English explanation). By my count, that means the observation period begins Jan. 29 and ends Feb. 26., The tricky thing about that observation period is that it will encompass Tesla's announcements on Q4 production and the release of Q4 and full-year earnings in early February. During the Q3 2018 conference call Musk stated:, “The current operating plan is to pay off our debts and not to refinance them, but to pay them off and reduce the debt load and overall leverage of the company,”, Given that the maturities of the November 2018 Converts and the March 2019 Converts would total $1.15 billion, this was quite a statement about Musk's confidence of staying meaningfully cash flow positive during Q4 2018 and Q1 2019. Consensus estimates by analysts support that confidence:, The electric car maker is expected to generate $360 million in free cash flow in the fourth quarter and about $110 million in the first three months of 2019, according to analysts’ estimates compiled by Bloomberg., Q4 earnings therefore set up as a binodal event for TSLA relative to the March 2019 Convert: If production shows continued improvements and cash flow meets estimates, the average of the 20-day VWAP for TSLA'S stock could remain above the conversion price and the noteholders will choose to convert. This means that TSLA will pay off $460 million of the Converts in cash and the remainder in common stock. The amount of common stock paid out on conversion will increase based on the difference between the average of the 20-day VWAP observation and the initial conversion price in the Prospectus. The greater the difference, the more shares that will be issued to the note holders upon conversion. As part of the offering, TSLA entered hedging contracts with the underwriters and third parties to limit the amount of dilution incurred in the instance where the average of the 20-day VWAP exceeds the initial conversion price., . As depicted in the table, a $400 average 20-day VWAP during the observation period would result in the issuance of an incremental 300k shares, the impact of the impact of the hedges and capped calls (which would reduce the actual dilution)., If TSLA misses the production targets or cash flow is worse than expected, TSLA will likely need to muster $920 million to repay the March 2019 Converts since the stock price should drop below the initial conversion price of $359.87., . Be forewarned, the descriptions of the settlement mechanism can seem a bit opaque at times., After a near-death experience rolling out the Model 3, I do not believe that Musk would risk the financial health of TSLA by choosing to pay down debt rather than opting to refinance the maturing convertibles. Yes, he has risked the financial well being of the company in the past to limit dilution, but that's not what he was facing with the maturity of these two issuances of convertible debt., “For me, the fact that we were able to build at scale, amid all that craziness, that’s the real accomplishment,” one former engineering executive told me. “Just think about it: We designed a car that is so simple and elegant you can build it in a tent. You can build it when your CEO is melting down. You can build it when everyone is quitting or getting fired. That’s a real accomplishment. That’s amazing.”, Quote from the Wired article referenced above., Elon Musk's behavior borders on madness at times (too often, actually). He certainly has demonstrated an alarming degree of immaturity in his dealings with the SEC and he uses Twitter and media interviews to indulge in reckless taunts and insults that provide no benefit to the company. He can be petulant, rude and, according to the Wired article, at times abusive. These are all well-known negatives and part of the bear case against TSLA, i.e. an out of control, self-destructive CEO who will surely not succeed. Despite all the outlandish behavior, as the quote above succinctly states, TSLA has a string of accomplishments to its credit. If it can continue to grind out increases in production rates, improvements in quality, and reductions in cost, it will stay cash flow positive and be able to fund its growth., The slicing in half of the U.S. electric vehicle tax credit beginning Jan. 1, 2019, on electric vehicles sold by TSLA must harm, to some extent, the incremental demand for the Model 3. To argue otherwise would be to reject economic theory on price vs. demand dating back to Adam Smith. A decrease in demand growth, however, should not be conflated with a decline in demand. Sales volume will likely grow during 2019 despite the halving of the tax credit. Why? Because, despite some of the problems with the fit and finish of the Model 3, it is an appealing, high-quality product that is fun to drive (particularly compared with other products in the price range) that early adopters (they come after the Innovators in the adoption life cycle) will embrace., Lastly, there's the specter of imminent competition. There's plenty of room for debate about when and how effective that competition will be, but, sometime over the next three years, at least a couple of the traditional car manufacturers (domestic and international) will have competitive products that will be introduced at least in the high-end market to compete with the S and X. TSLA will not remain static. It will continue to make progress on battering down costs, automating production, and reducing the cost of its vehicles. In addition, the more electric vehicles out in the wild on the roads of the U.S., Europe, China and the rest of the world, the greater the size of the addressable market since it will accelerate the adoption of electric vehicles. The best advertising is the product on the road., All of these negatives are well known and hotly debated. If in doubt, just look at the quantity of articles published daily on Seeking Alpha arguing the bull or the bear side of the debate. Despite this cloud of negativity, TSLA's stock price reversed hard beginning late October and has withstood the buffeting of a general market decline., Q3 2018 earnings are increasingly looking like a critical milestone for TSLA. In a nonlinear, frustratingly zig-zag pattern, TSLA was able to grind out sufficient advances in the rate of the production of the Model 3 to begin generating cash on a consistent basis (still to be confirmed by Q4 and Q1 results). TSLA has fallen short of its goal to achieve its target of a $35k Model 3 for the mass market and the company has too often over promised and under delivered (way too often). The market is turning a blind eye to this, however, and is focusing on where the company is going. The stock market, after all, is a discounting mechanism and it's currently indicating confidence that TSLA will survive and continue to generate free cash flow in the near term., Similar to how many analysts value (potentially) high-growth companies, Oppenheimer justifies its price target by looking out three years to project earnings, applying a multiple, and discounting back to bet a 12-month price target. $21 of EPS with 250 million shares outstanding (my wild guess estimate, there are 171.7 million currently outstanding) implies net income of $5.25 billion. This seems pretty ambitious as does the 25x multiple. The stock feels overvalued, but the stock always has been overvalued from the beginning. If TSLA hits Oppenheimer's Q4 production estimates of 66k, the stock is not going to trade down. To believe that the stock is going to decline meaningfully from here, an investor must believe that TSLA will miss Q4 production estimates., As to what the future holds? That brings us back to this quote:, “For me, the fact that we were able to build at scale, amid all that craziness, that’s the real accomplishment,” one former engineering executive told me. “Just think about it: We designed a car that is so simple and elegant you can build it in a tent. You can build it when your CEO is melting down. You can build it when everyone is quitting or getting fired. That’s a real accomplishment. That’s amazing.”, For all the insanity that has occurred at TSLA, Musk has still built an impressive company., , ",,"Tesla provided notice to the 2019 Convertible Notes holders that the Convertible Notes will be settled with a 50/50 mix of cash and stock at maturity on March 1, 2019., The notification to the Convertible Notes holders was required to be issued by Dec. 1 and was not an attempt at stock price goosing by Tesla., The cash flow positive Q3 2018 was an important milestone and management's optimism about consistently generating free cash marks an inflection point for the company., If Q4 earnings show a modest amount of positive cash flow after redemption of the 2018 Converts, it will reinforce investor belief in the financial survival of TSLA."
https://static3.seekingalpha.com/assets/og_image_192-59bfd51c9fe6af025b2f9f96c807e46f8e2f06c5ae787b15bf1423e6c676d4db.png,,,Musk hints at GM plant interest on 60 Minutes,"Tesla (, , ) CEO Elon Musk told, ' Leslie Stahl that the company would consider taking over an old GM plant if one becomes available., On the issue of EV competition from GM and others, Musk  repeated his old manta to Stahl., ""The whole point of Tesla is to accelerate the advent of electric vehicles…sustainable transport and trying to help the environment... It's the most serious problem that humanity faces,"" said Musk., The full 60 Minutes interview airs on Sunday at 7:00 p.m. ET., Now read:",,
https://static3.seekingalpha.com/assets/og_image_192-59bfd51c9fe6af025b2f9f96c807e46f8e2f06c5ae787b15bf1423e6c676d4db.png,,,Highlights from Musk's 60 Minutes interview,"Elon Musk made it clear right up front that he doesn't respect the SEC., The CEO handpicked Robyn Denholm to be his replacement as the Tesla (NASDAQ:, ) chairman., Musk said he didn't have a happy childhood., He called the Model 3 introduction an American success story, while conceding that the ramp was a life-or-death struggle., There's also some rehashing of the all nighters at the Fremont plant that have been reported on previously., Musk took CBS' Leslie Stahl on a test drive that included using Autopilot., Musk ""guessed"" that the $35K Model 3 could arrive in five or six months. Are you a doubter? Musk conceded that punctuality isn't his strength., Taking over a GM plant sounds interesting to Musk if an opportunity comes around., Now read:",,
https://static3.seekingalpha.com/assets/og_image_192-59bfd51c9fe6af025b2f9f96c807e46f8e2f06c5ae787b15bf1423e6c676d4db.png,,,Automakers lobby to save EV incentive,"Automakers General Motors (, , ), Tesla (, , ) and Nissan (, ) are, of the, lobbying organization that also includes several consumer and environmental groups., The coalition group is urging Congress to put a provision in the government spending bill that does away with the 200K-car limit for EV tax incentives., ""Eliminating the per-manufacturer cap will level the playing field for all EV manufacturers and spur innovation among domestic manufacturers,"" reads a letter sent to Congress last week by EV Drive., Now read:",,
https://static3.seekingalpha.com/assets/og_image_192-59bfd51c9fe6af025b2f9f96c807e46f8e2f06c5ae787b15bf1423e6c676d4db.png,,,Automakers gain as China moves to lower import tariff,"China is taking initial steps to lowers its tariffs on U.S.-made cars back down from 40% to 15%, sources tell Bloomberg. The 15% mark is back to where it stood last May., President Trump has, once again on ""very productive"" conversations with China, although Bloomberg reports that the China Cabinet is still reviewing the auto import proposal., Automakers are getting a bump off the development. BMW (, ) and Daimler (, ) are both, in Frankfurt, while Ford (NYSE:, ) and General Motors (NYSE:, ) are both, in U.S. premarket trading and Tesla (NASDAQ:, ) is, ., Related ETF:, ., Now read:",,
https://static3.seekingalpha.com/assets/og_image_192-59bfd51c9fe6af025b2f9f96c807e46f8e2f06c5ae787b15bf1423e6c676d4db.png,,,Elon Musk hints at electric pickup unveiling next year,"Tesla (NASDAQ:, ) CEO Elon Musk, that the EV automaker might have a prototype electric pickup to show off next year. Today's musings follows last month's hints of a 6-seater ""big truck"" out of Tesla with an option for 400 to 500 miles of range., Tesla is already just a bit behind Rivian Automotive in the all-electric pickup segment after the startup showed off its R1T model prototype at the L.A. Auto Show last month., Previously:, (Nov. 26), Now read:",,
https://static3.seekingalpha.com/assets/og_image_192-59bfd51c9fe6af025b2f9f96c807e46f8e2f06c5ae787b15bf1423e6c676d4db.png,,,China on track for first drop in auto sales since 1990,"Chinese automobile sales fell 14% to 2.55M units in November to mark the fifth month in a row of declining volume in the region. Total vehicle sales are likely to drop around 3% for the year in what would be the first annual decline for the market since 1990., Passenger car sales were down 16% during November and are off 2.8% YTD through November 30., EV sales continue to show improvement with increased support from Beijing. Electric car sales are up 68% YTD to 1.03M for the first 11 months of the year., Source:, Related automaker stocks:, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ., Now read:",,
https://static3.seekingalpha.com/assets/og_image_192-59bfd51c9fe6af025b2f9f96c807e46f8e2f06c5ae787b15bf1423e6c676d4db.png,,,Musk sees chopping chairman role in three years,"Elon Musk, Tesla (, , ) will retire the ""honorific"" chairman position at the board in three years since it isn't needed to run the company., Musk also wants 60 Minutes to release the unedited version of what he told Leslie Stahl during the show about being replaced as chairman by Robyn Denholm. He says in talking about having Denholm looking over him that he actually stated he could call for a shareholder vote and get anything he wanted done, ., Now read:",,
https://static3.seekingalpha.com/assets/og_image_192-59bfd51c9fe6af025b2f9f96c807e46f8e2f06c5ae787b15bf1423e6c676d4db.png,,,Tesla seeks $167M in lawsuit against former employee,"Tesla (, , ), more than $167M in the lawsuit it filed in June against former employee Martin Tripp for taking data from the company and making false claims to media outlets., On the opposite side, Tripp's attorneys are fighting to depose Elon Musk and other top execs., The lawsuit is playing out in a Nevada courtroom., Now read:",,
https://static3.seekingalpha.com/assets/og_image_192-59bfd51c9fe6af025b2f9f96c807e46f8e2f06c5ae787b15bf1423e6c676d4db.png,,,Oppenheimer sees Tesla outrunning the drama,"Oppenheimer stays bullish on Tesla (NASDAQ:, ) by backing its Outperform rating and 12-18 month price target of $418., ""After a drama-filled fall that concluded with a settlement with SEC and a new board chair, we believe TSLA is enjoying improving fundamentals based on increasingly efficient manufacturing, strong ASPs leading to better than expected cash flow, as well as slow and disappointing competition entering the market for EV/ PHEVs,"" writes analyst Colin Rusch., Rusch thinks Tesla is likely to top Street estimates for 66K Model 3 production in Q4 and sees Model 3 gross margin potentially rising into the low 20%s., Opeenheimer's price target of $418 works out to 25x 2021E EPS of $20.99 discounted two years at 12%. ""We believe this multiple is appropriate given TSLA's position as a leader in electric vehicle and advanced driver assistance system functionality which is disrupting the transportation market,"" notes Rusch., TSLA, premarket to $369.88., Now read:",,
https://static3.seekingalpha.com/assets/og_image_192-59bfd51c9fe6af025b2f9f96c807e46f8e2f06c5ae787b15bf1423e6c676d4db.png,,,Tesla loses head of digital product,"The turnover at Tesla (NASDAQ:, ) continues as Parag Vaish, head of digital product, jumps ship to, Google's internal incubator called Area 120., Vaish was originally hired by Jon McNeill, Tesla's former president of global sales and service who is now COO of Lyft., Vaish had also worked closely with Elon Musk on digital developments after McNeill left and most recently reported to Robin Ren, Tesla's VP of worldwide sales., Now read:",,
https://static3.seekingalpha.com/assets/og_image_192-59bfd51c9fe6af025b2f9f96c807e46f8e2f06c5ae787b15bf1423e6c676d4db.png,,,China halts additional auto tariffs; Tesla cuts prices,"China has confirmed it will, additional tariffs on U.S.-made vehicles and auto parts for three months starting Jan. 1, 2019, following a trade truce between the world’s two largest economies., Following the news, Tesla (NASDAQ:, ) slashed prices on certain Model S cars by up to 105,000 yuan ($15,200) and Model Xs by up to 65,000 yuan., Next steps? There's word China will soon restart corn purchases., ETFs:, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, Now read:",,
